title|location|use|category
AV1|Please place in AV50 locker in the office|This item is used for charging electronic devices|Tool used by kids
AV2|Please place in AV25 box in the kitchen|This item is used for organizing tools|Tool used by Vipin
AV3|Please place in AV17, AV23 box in the bedroom|This item is used for measuring water quality|Tool used by Athira
AV4|Please place in AV15, AV16 section in the kids' room|This item is used for measuring water quality|Tool used in emergencies
AV5|Please place in AV20, AV22 box near entrance|This item is used for measuring water quality|Tool used by Athira
AV6|Please place in AV25 box in the kitchen|This item is used for charging electronic devices|Tool used by Vipin
AV7|Please place in AV20, AV22 box near entrance|This item is used for repairing pipe|Tool used by guests
AV8|Please place in AV17, AV23 box in the bedroom|This item is used for repairing pipe|Tool used by Mumma
AV9|Please place in AV38 rack in the store room|This item is used for organizing tools|Shared tool
AV10|Please place in AV45 drawer in the garage|This item is used for cleaning surfaces|Tool used by guests
AV11|Please place in AV45 drawer in the garage|This item is used for testing batteries|Tool used by guests
AV12|Please place in AV50 locker in the office|This item is used for testing batteries|Tool used by Vipin
AV13|Please place in AV45 drawer in the garage|This item is used for repairing pipe|Tool used by Mumma and Dada
AV14|Please place in AV20, AV22 box near entrance|This item is used for cleaning surfaces|Tool used by Vipin
AV15|Please place in AV20, AV22 box near entrance|This item is used for monitoring air quality|Tool used by kids
AV16|Please place in AV31, AV33 shelf in the study|This item is used for cooking vegetables|Tool used by kids
AV17|Please place in AV20, AV22 box near entrance|This item is used for measuring water quality|Shared tool
AV18|Please place in AV17, AV23 box in the bedroom|This item is used for cleaning surfaces|Shared tool
AV19|Please place in AV25 box in the kitchen|This item is used for monitoring air quality|Tool used by Mumma
AV20|Please place in AV38 rack in the store room|This item is used for storing documents|Tool used by whole family
AV21|Please place in AV17, AV23 box in the bedroom|This item is used for organizing tools|Tool used by whole family
AV22|Please place in AV70, AV57 box in the master room|This item is used for repairing pipe|Tool used by kids
AV23|Please place in AV38 rack in the store room|This item is used for repairing pipe|Shared tool
AV24|Please place in AV17, AV23 box in the bedroom|This item is used for cooking vegetables|Tool used in emergencies
AV25|Please place in AV12, AV19 box in the living room|This item is used for cleaning surfaces|Tool used by kids
AV26|Please place in AV70, AV57 box in the master room|This item is used for creating mathematical objects|Tool used by whole family
AV27|Please place in AV25 box in the kitchen|This item is used for cleaning surfaces|Tool used in emergencies
AV28|Please place in AV45 drawer in the garage|This item is used for monitoring air quality|Tool used by guests
AV29|Please place in AV45 drawer in the garage|This item is used for monitoring air quality|Tool used by guests
AV30|Please place in AV12, AV19 box in the living room|This item is used for charging electronic devices|Tool used by Athira
AV31|Please place in AV38 rack in the store room|This item is used for repairing pipe|Tool used by Mumma
AV32|Please place in AV31, AV33 shelf in the study|This item is used for charging electronic devices|Tool used by Vipin
AV33|Please place in AV15, AV16 section in the kids' room|This item is used for cooking vegetables|Tool used by Mumma and Dada
AV34|Please place in AV50 locker in the office|This item is used for storing documents|Tool used by Mumma and Dada
AV35|Please place in AV70, AV57 box in the master room|This item is used for monitoring air quality|Tool used by Athira
AV36|Please place in AV15, AV16 section in the kids' room|This item is used for monitoring air quality|Tool used by kids
AV37|Please place in AV31, AV33 shelf in the study|This item is used for cooking vegetables|Tool used by Dada
AV38|Please place in AV20, AV22 box near entrance|This item is used for storing documents|Tool used by Vipin
AV39|Please place in AV45 drawer in the garage|This item is used for measuring water quality|Tool used by Mumma and Dada
AV40|Please place in AV38 rack in the store room|This item is used for creating mathematical objects|Tool used by Mumma
AV41|Please place in AV15, AV16 section in the kids' room|This item is used for organizing tools|Tool used by whole family
